word,transcription,index,long
a,a,1,1
a,z.a,2,1
a,n.a,2,1
a,t.a,2,1
abandon,a.b.ɑ̃.d.ɔ̃,1,0
abandonnant,n.a.b.ɑ̃.d.o.n.ɑ̃,2,0
abandonne,a.b.ɑ̃.d.ɔ.n,1,0
abandonner,a.b.ɑ̃.d.ɔ.n.e,1,0
abandonné,a.b.ɑ̃.d.ɔ.n.e,1,0
abandonné,a.b.ɑ̃.d.o.n.e,1,0
abandonnées,a.b.ɑ̃.d.ɔ.n.e,1,0
abattre,a.b.a.t,1,0
abattre,a.b.a.t,3,0
abdallah,a.b.d.a.l.a,1,0
abdallah,a.b.d.a.l.a,4,0
abdallah,a.b.d.a.l.a,6,1
aberration,a.b.ɛ.ʁ.a.s.j.ɔ̃,1,0
aberration,a.b.ɛ.ʁ.a.s.j.ɔ̃,5,0
abitibi,a.b.i.t.i.b.i,1,0
abitibibowater,a.b.i.t.i.b.i.b.o.w.ɑ.t.ə.ʁ,1,0
abnégation,a.b.n.e.g.a.s.j.ɔ̃,1,0
abnégation,a.b.n.e.g.a.s.j.ɔ̃,6,0
aboli,a.b.o.l.i,1,0
abolir,a.b.ɔ.ʎ.i.ʁ,1,0
abolit,a.b.o.l.i,1,0
abolition,a.b.o.l.i.s.j.ɔ̃,1,0
abondamment,a.b.ɔ̃.d.a.m.ɑ̃,1,0
abondamment,a.b.ɔ̃.d.a.m.ɑ̃,5,0
abonnés,a.b.ɔ.n.e,1,0
abord,a.b.ɔ.ʁ,1,0
abordable,a.b.ɔ.ʁ.d.a.b.l,1,0
abordable,a.b.ɔ.ʁ.d.a.b.l,6,0
abordables,a.b.ɔ.ʁ.d.a.b.l,1,0
abordables,a.b.ɔ.ʁ.d.a.b.l,6,0
aborde,a.b.ɔ.ʁ.d,1,0
aborder,a.b.ɔ.ʁ.d.e,1,0
abords,a.b.ɔ.ʁ,1,0
abordé,a.b.ɔ.ʁ.d.e,1,0
abordés,a.b.ɔ.ʁ.d.e,1,0
aboutir,a.b.u.t.i.ʁ,1,0
aboutissants,a.b.u.t.i.s.ɑ̃,1,0
aboutissent,a.b.u.t.i.s,1,0
abri,a.b.ʁ.i,1,0
abrite,a.b.ʁ.i.t,1,0
abroge,a.b.ʁ.ɔ.ʒ,1,0
abroger,a.b.ʁ.o.ʒ.e,1,0
absence,a.p.s.ɑ̃.s,1,0
absente,a.p.s.ɑ̃.t,1,0
absents,a.p.s.ɑ̃,1,0
absolue,a.p.s.ɔ.l.y,1,0
absolue,a.p.s.o.l.y,1,0
absolument,a.p.s.ɔ.l.y.m.ɑ̃,1,0
absolument,a.p.s.o.l.y.m.ɑ̃,1,0
absorbons,a.p.s.ɔ.ʁ.b.ɔ̃,1,0
absorbé,a.p.s.ɔ.ʁ.b.e,1,0
absorbée,a.p.s.ɔ.ʁ.b.e,1,0
abstiendra,a.b.s.t.j.ɛ.n.d.ʁ.a,1,0
abstiendra,a.b.s.t.j.ɛ.n.d.ʁ.a,10,1
abstraction,a.p.s.t.ʁ.a.k.s.j.ɔ̃,1,0
abstraction,a.p.s.t.ʁ.a.k.s.j.ɔ̃,6,0
absurdité,a.p.s.y.ʁ.d.i.t.e,1,0
abus,a.b.y,1,0
abuse,a.b.y.z,1,0
abusif,a.b.y.z.i.f,1,0
abusive,a.b.y.z.i.v,1,0
abusives,a.b.y.z.i.v,1,0
acadie,a.k.a.d.i,1,0
acadie,a.k.a.d.i,3,0
acadiens,a.k.a.d.j.ɛ̃,1,0
acadiens,a.k.a.d.j.ɛ̃,3,0
académique,a.k.a.d.e.m.i.k,1,0
académique,a.k.a.d.e.m.i.k,3,0
académiques,a.k.a.d.e.m.i.k,1,0
académiques,a.k.a.d.e.m.i.k,3,0
accablant,a.k.a.b.l.ɑ̃,1,0
accablant,a.k.a.b.l.ɑ̃,3,1
accablant,t.a.k.a.b.l.ɑ̃,2,0
accablant,t.a.k.a.b.l.ɑ̃,4,1
accaparé,t.a.k.a.p.a.ʁ.e,2,0
accaparé,t.a.k.a.p.a.ʁ.e,4,0
accaparé,t.a.k.a.p.a.ʁ.e,6,0
accent,a.k.s.ɑ̃,1,0
accentué,a.k.s.ɑ̃.t.ɥ.e,1,0
acceptabilité,a.k.s.ɛ.p.t.a.b.i.ʎ.i.t.e,1,0
acceptabilité,a.k.s.ɛ.p.t.a.b.i.ʎ.i.t.e,7,0
acceptabilité,a.k.s.ɛ.p.t.a.b.i.l.i.t.e,1,0
acceptabilité,a.k.s.ɛ.p.t.a.b.i.l.i.t.e,7,0
acceptable,a.k.s.ɛ.p.t.a.b.l,1,0
acceptable,a.k.s.ɛ.p.t.a.b.l,7,0
acceptable,a.k.s.ɛ.p.t.a.b.l.ə,1,0
acceptable,a.k.s.ɛ.p.t.a.b.l.ə,7,0
accepte,a.k.s.ɛ.p.t,1,0
accepte,a.k.s.ɛ.p,1,0
accepte,a.k.s.ɛ.p.t.ə,1,0
accepter,a.k.s.ɛ.p.t.e,1,0
acceptera,a.k.s.ɛ.p.t.ə.ʁ.a,1,0
acceptera,a.k.s.ɛ.p.t.ə.ʁ.a,9,1
acceptez,a.k.s.ɛ.p.t.e,1,0
accepté,a.k.s.ɛ.p.t.e,1,0
acceptés,a.k.s.ɛ.p.t.e,1,0
access,a.k.s.ɛ.s,1,0
accessibilité,a.k.s.ɛ.s.i.b.i.l.i.t.e,1,0
accessible,a.k.s.e.s.i.b.l,1,0
accessible,a.k.s.e.s.i.b,1,0
accessibles,a.k.s.e.s.i.b.l.ə,1,0
accessibles,a.k.s.ɛ.s.i.b.l,1,0
accessibles,a.k.s.e.s.i.b,1,0
accessoires,a.k.s.ɛ.s.w.a.ʁ,1,0
accessoires,a.k.s.ɛ.s.w.a.ʁ,7,0
accidents,a.k.s.i.d.ɑ̃,1,0
