prénom,nom,nom_complet,genre,année_naissance,municipalité,région,lieu
Alice,Abou-Khalil,Alice Abou-Khalil,f,1971,,,Liban
Simon,Allaire,Simon Allaire,m,1977,Sorel-Tracy,Montérégie,Québec
Dominique,Anglade,Dominique Anglade,f,1974,Montréal,Montréal,Québec
Pierre,Arcand,Pierre Arcand,m,1951,Saint-Hyacinthe,Montérégie,Québec
Damien,Arsenault,Damien Arsenault,m,1960,Saint-Elzéar,Chaudière-Appalaches,Québec
Joël,Arseneau,Joël Arseneau,m,1965,Cap-aux-Meules,Gaspésie–Îles-de-la-Madeleine,Québec
Maxime,Arseneau,Maxime Arseneau,m,1949,Havre-aux-Maisons,Gaspésie–Îles-de-la-Madeleine,Québec
Mario,Asselin,Mario Asselin,m,1965,,,
Vincent,Auclair,Vincent Auclair,m,1965,Laval,Laval,Québec
Michel,Audet,Michel Audet,m,1940,Jonquière,Saguenay–Lac-Saint-Jean,Québec
Pierre-Michel,Auger,Pierre-Michel Auger,m,1963,Shawinigan,Mauricie,Québec
Jean-Martin,Aussant,Jean-Martin Aussant,m,1970,Sorel,Montérégie,Québec
André,Bachand,André Bachand,m,1961,Québec,Capitale-Nationale,Québec
Claude,Bachand,Claude Bachand,m,1956,Montréal,Montréal,Québec
Raymond,Bachand,Raymond Bachand,m,1947,Montréal,Montréal,Québec
Diane,Barbeau,Diane Barbeau,f,1961,Baie-Comeau,Côte-Nord,Québec
Gilles,Baril,Gilles Baril,m,1957,Saint-Eugène-de-Guigues,Abitibi-Témiscamingue,Québec
Jacques,Baril,Jacques Baril,m,1942,Princeville,Centre-du-Québec,Québec
Gaétan,Barrette,Gaétan Barrette,m,1956,La Tuque,Mauricie,Québec
Line,Beauchamp,Line Beauchamp,f,1963,Salaberry-de-Valleyfield,Montérégie,Québec
Frédéric,Beauchemin,Frédéric Beauchemin,m,,,,
Denise,Beaudoin,Denise Beaudoin,f,1949,Lachute,Laurentides,Québec
Louise,Beaudoin,Louise Beaudoin,f,1945,Québec,Capitale-Nationale,Québec
François,Beaulne,François Beaulne,m,1946,Ottawa,,Ontario
Yves,Beaumier,Yves Beaumier,m,1942,Trois-Rivières,Mauricie,Québec
Pascal,Beaupré,Pascal Beaupré,m,1983,Joliette,Lanaudière,Québec
Claude,Béchard,Claude Béchard,m,1969,Saint-Philippe-de-Néri,Bas-Saint-Laurent,Québec
Stéphane,Bédard,Stéphane Bédard,m,1968,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Paul,Bégin,Paul Bégin,m,1943,Dolbeau,Saguenay–Lac-Saint-Jean,Québec
Gilles,Bélanger,Gilles Bélanger,m,1958,Saint-Laurent,Montréal,Québec
Madeleine,Bélanger,Madeleine Bélanger,f,1932,Saint-Sébastien,Estrie,Québec
Sonia,Bélanger,Sonia Bélanger,f,1961,Rimouski,Bas-Saint-Laurent,Québec
Marc,Bellemare,Marc Bellemare,m,1956,Saint-Hyacinthe,Montérégie,Québec
François,Benjamin,François Benjamin,m,1962,Montréal,Montréal,Québec
Frantz,Benjamin,Frantz Benjamin,m,1968,,,Haïti
Hubert,Benoit,Hubert Benoit,m,1963,Québec,Capitale-Nationale,Québec
Robert,Benoît,Robert Benoît,m,1944,Saint-Hyacinthe,Montérégie,Québec
Jean-Paul,Bergeron,Jean-Paul Bergeron,m,1947,Iberville,Montérégie,Québec
Stéphane,Bergeron,Stéphane Bergeron,m,1965,Montréal,Montréal,Québec
Lawrence,Bergman,Lawrence Bergman,m,1940,Montréal,Montréal,Québec
Daniel,Bernard,Daniel Bernard,m,1959,Disraeli,Chaudière-Appalaches,Québec
Raymond,Bernier,Raymond Bernier,m,1952,Québec,Capitale-Nationale,Québec
Roger,Bertrand,Roger Bertrand,m,1947,Donnacona,Capitale-Nationale,Québec
Rosaire,Bertrand,Rosaire Bertrand,f,1936,Saint-Fabien-de-Panet,Chaudière-Appalaches,Québec
Pascal,Bérubé,Pascal Bérubé,m,1975,Matane,Bas-Saint-Laurent,Québec
Stéphane,Billette,Stéphane Billette,m,1971,Howick,Montérégie,Québec
David,Birnbaum,David Birnbaum,m,1956,Montréal,Montréal,Québec
Martine,Biron,Martine Biron,f,1962,Montréal,Montréal,Québec
Michel,Bissonnet,Michel Bissonnet,m,1942,Montréal,Montréal,Québec
Karl,Blackburn,Karl Blackburn,m,1967,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
François,Blais,François Blais,m,1961,Saint-Patrice-de-Beaurivage,Chaudière-Appalaches,Québec
Marguerite,Blais,Marguerite Blais,f,1950,Montréal,Montréal,Québec
Suzanne,Blais,Suzanne Blais,f,,Taschereau,Abitibi-Témiscamingue,Québec
Manon,Blanchet,Manon Blanchet,f,1968,Montréal,Montréal,Québec
Yves-François,Blanchet,Yves-François Blanchet,m,1965,Drummondville,Centre-du-Québec,Québec
Luc,Blanchette,Luc Blanchette,m,1960,Trois-Rivières,Mauricie,Québec
Maïté,Blanchette Vézina,Maïté Blanchette Vézina,f,1985,Montmagny,Chaudière-Appalaches,Québec
Catherine,Blouin,Catherine Blouin,f,1986,Saint-Jérôme,Laurentides,Québec
Audrey,Bogemans,Audrey Bogemans,f,1989,Saint-Sébastien,Montérégie,Québec
André,Boisclair,André Boisclair,m,1966,Montréal,Montréal,Québec
Alex,Boissonneault,Alex Boissonneault,m,1979,Saint-Ferdinand,Centre-du-Québec,Québec
Karine,Boivin Roy,Karine Boivin Roy,f,1971,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
Ghislain,Bolduc,Ghislain Bolduc,m,1952,Sherbrooke,Estrie,Québec
Yves,Bolduc,Yves Bolduc,m,1957,Alma,Saguenay–Lac-Saint-Jean,Québec
François,Bonnardel,François Bonnardel,m,1968,Verdun,Montréal,Québec
Yvan,Bordeleau,Yvan Bordeleau,m,1942,La Sarre,Abitibi-Témiscamingue,Québec
Haroun,Bouazzi,Haroun Bouazzi,m,1979,,,Tunisie
Camil,Bouchard,Camil Bouchard,m,1945,La Tuque,Mauricie,Québec
Daniel,Bouchard,Daniel Bouchard,m,1968,Québec,Capitale-Nationale,Québec
Lucien,Bouchard,Lucien Bouchard,m,1938,Saint-Coeur-de-Marie,Saguenay–Lac-Saint-Jean,Québec
Claude,Boucher,Claude Boucher,m,1942,Bromptonville,Estrie,Québec
Etienne-Alexis,Boucher,Etienne-Alexis Boucher,m,1978,Sherbrooke,Estrie,Québec
Jean,Boucher,Jean Boucher,m,1962,Trois-Rivières,Mauricie,Québec
Marie,Bouillé,Marie Bouillé,f,1958,Montréal,Montréal,Québec
André,Boulerice,André Boulerice,m,1946,Joliette,Lanaudière,Québec
Jean,Boulet,Jean Boulet,m,,Saint-Tite,Mauricie,Québec
Julie,Boulet,Julie Boulet,f,1959,Saint-Tite,Mauricie,Québec
Marc,Boulianne,Marc Boulianne,m,1941,Tadoussac,Côte-Nord,Québec
Kariane,Bourassa,Kariane Bourassa,f,1991,Drummondville,Centre-du-Québec,Québec
André,Bourbeau,André Bourbeau,m,1936,Verdun,Montréal,Québec
Marc,Bourcier,Marc Bourcier,m,1957,Saint-Jérôme,Laurentides,Québec
Alexandre,Bourdeau,Alexandre Bourdeau,m,1978,Le Gardeur,Lanaudière,Québec
Guy,Bourgeois,Guy Bourgeois,m,1958,Amos,Abitibi-Témiscamingue,Québec
Joëlle,Boutin,Joëlle Boutin,f,1979,Dolbeau,Saguenay–Lac-Saint-Jean,Québec
Jacques,Brassard,Jacques Brassard,m,1940,Alma,Saguenay–Lac-Saint-Jean,Québec
Daniel,Breton,Daniel Breton,m,1962,Montréal,Montréal,Québec
Bernard,Brodeur,Bernard Brodeur,m,1956,Granby,Estrie,Québec
Raymond,Brouillet,Raymond Brouillet,m,1933,Montréal,Montréal,Québec
Léo,Bureau-Blouin,Léo Bureau-Blouin,m,1991,Montréal,Montréal,Québec
Paul,Busque,Paul Busque,m,1960,Saint-Benoit-Labre,Chaudière-Appalaches,Québec
Robert,Bussière,Robert Bussière,m,1955,Otter Lake,Outaouais,Québec
Madwa-Nika,Cadet,Madwa-Nika Cadet,f,1990,Montréal,Montréal,Québec
Éric,Caire,Éric Caire,m,1965,Sorel,Montérégie,Québec
Martin,Camirand,Martin Camirand,m,1965,Saint-Jérôme,Laurentides,Québec
Richard,Campeau,Richard Campeau,m,1954,Montréal,Montréal,Québec
Serge,Cardin,Serge Cardin,m,1950,Sherbrooke,Estrie,Québec
Lionel,Carmant,Lionel Carmant,m,1965,,,Haïti
Jocelyne,Caron,Jocelyne Caron,f,1951,Verdun,Montréal,Québec
Linda,Caron,Linda Caron,f,1966,Montréal,Montréal,Québec
Vincent,Caron,Vincent Caron,m,1969,Béthune,,France
Denise,Carrier-Perreault,Denise Carrier-Perreault,f,1946,Lévis,Chaudière-Appalaches,Québec
Marc,Carrière,Marc Carrière,m,1964,Buckingham,Outaouais,Québec
Jacques,Chagnon,Jacques Chagnon,m,1952,Montréal,Montréal,Québec
Noëlla,Champagne,Noëlla Champagne,f,1944,Saint-Tite,Mauricie,Québec
Kateri,Champagne Jourdain,Kateri Champagne Jourdain,f,1981,Sept-Îles,Côte-Nord,Québec
Gilles,Chapadeau,Gilles Chapadeau,m,1960,Québec,Capitale-Nationale,Québec
Éric,Charbonneau,Éric Charbonneau,m,1969,Montréal,Montréal,Québec
Francine,Charbonneau,Francine Charbonneau,f,1962,Montréal,Montréal,Québec
Jean-Pierre,Charbonneau,Jean-Pierre Charbonneau,m,1950,Saint-Eustache,Laurentides,Québec
