id,prénom,nom,nom_complet,genre,annee_naissance,municipalité,région,lieu,lat,long
49195,Alice,Abou-Khalil,Alice Abou-Khalil,f,1971,,,Liban,,
41792,Simon,Allaire,Simon Allaire,m,1977,Sorel-Tracy,Montérégie,Québec,46.044404,-73.104744
98330,Dominique,Anglade,Dominique Anglade,f,1974,Montréal,Montréal,Québec,45.5031824,-73.5698065
87109,Pierre,Arcand,Pierre Arcand,m,1951,Saint-Hyacinthe,Montérégie,Québec,45.627484,-72.940636
61870,Damien,Arsenault,Damien Arsenault,m,1960,Saint-Elzéar,Chaudière-Appalaches,Québec,46.408511,-71.061287
94074,Joël,Arseneau,Joël Arseneau,m,1965,Cap-aux-Meules,Gaspésie–Îles-de-la-Madeleine,Québec,47.377501,-61.8661738
58256,Maxime,Arseneau,Maxime Arseneau,m,1949,Havre-aux-Maisons,Gaspésie–Îles-de-la-Madeleine,Québec,47.403573,-61.7959076
65295,Mario,Asselin,Mario Asselin,m,1965,,,,,
99893,Vincent,Auclair,Vincent Auclair,m,1965,Laval,Laval,Québec,45.60558895,-73.73456014508847
53112,Michel,Audet,Michel Audet,m,1940,Jonquière,Saguenay–Lac-Saint-Jean,Québec,48.4342285,-71.2542735965741
57606,Pierre-Michel,Auger,Pierre-Michel Auger,m,1963,Shawinigan,Mauricie,Québec,46.5396581,-72.7518637
95581,Jean-Martin,Aussant,Jean-Martin Aussant,m,1970,Sorel,Montérégie,Québec,46.044404,-73.104744
32441,André,Bachand,André Bachand,m,1961,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
73573,Claude,Bachand,Claude Bachand,m,1956,Montréal,Montréal,Québec,45.5031824,-73.5698065
51010,Raymond,Bachand,Raymond Bachand,m,1947,Montréal,Montréal,Québec,45.5031824,-73.5698065
16683,Diane,Barbeau,Diane Barbeau,f,1961,Baie-Comeau,Côte-Nord,Québec,49.2118373,-68.1801406
51067,Gilles,Baril,Gilles Baril,m,1957,Saint-Eugène-de-Guigues,Abitibi-Témiscamingue,Québec,47.512563,-79.352875
68189,Jacques,Baril,Jacques Baril,m,1942,Princeville,Centre-du-Québec,Québec,46.1722898,-71.8751852
62545,Gaétan,Barrette,Gaétan Barrette,m,1956,La Tuque,Mauricie,Québec,47.441092,-72.78511
93404,Line,Beauchamp,Line Beauchamp,f,1963,Salaberry-de-Valleyfield,Montérégie,Québec,45.2555575,-74.1316718
26727,Frédéric,Beauchemin,Frédéric Beauchemin,m,,,,,,
36024,Denise,Beaudoin,Denise Beaudoin,f,1949,Lachute,Laurentides,Québec,45.6560478,-74.3401388
66831,Louise,Beaudoin,Louise Beaudoin,f,1945,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
70812,François,Beaulne,François Beaulne,m,1946,Ottawa,,Ontario,,
21174,Yves,Beaumier,Yves Beaumier,m,1942,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
41515,Pascal,Beaupré,Pascal Beaupré,m,1983,Joliette,Lanaudière,Québec,46.0239798,-73.4419936
90245,Claude,Béchard,Claude Béchard,m,1969,Saint-Philippe-de-Néri,Bas-Saint-Laurent,Québec,47.468486,-69.88472
55890,Stéphane,Bédard,Stéphane Bédard,m,1968,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec,48.3370248,-71.12352613559267
30587,Paul,Bégin,Paul Bégin,m,1943,Dolbeau,Saguenay–Lac-Saint-Jean,Québec,48.8770098,-72.2302039
81785,Gilles,Bélanger,Gilles Bélanger,m,1958,Saint-Laurent,Montréal,Québec,45.5088774,-73.6875187
59683,Madeleine,Bélanger,Madeleine Bélanger,f,1932,Saint-Sébastien,Montérégie,Québec,45.1251126,-73.1469091
20132,Sonia,Bélanger,Sonia Bélanger,f,1961,Rimouski,Bas-Saint-Laurent,Québec,48.450155,-68.529968
60362,Marc,Bellemare,Marc Bellemare,m,1956,Saint-Hyacinthe,Montérégie,Québec,45.627484,-72.940636
27972,François,Benjamin,François Benjamin,m,1962,Montréal,Montréal,Québec,45.5031824,-73.5698065
75135,Frantz,Benjamin,Frantz Benjamin,m,1968,,,Haïti,,
14865,Hubert,Benoit,Hubert Benoit,m,1963,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
69840,Robert,Benoît,Robert Benoît,m,1944,Saint-Hyacinthe,Montérégie,Québec,45.627484,-72.940636
22281,Jean-Paul,Bergeron,Jean-Paul Bergeron,m,1947,Iberville,Montérégie,Québec,45.3039219,-73.2297415
36683,Stéphane,Bergeron,Stéphane Bergeron,m,1965,Montréal,Montréal,Québec,45.5031824,-73.5698065
28983,Lawrence,Bergman,Lawrence Bergman,m,1940,Montréal,Montréal,Québec,45.5031824,-73.5698065
81043,Daniel,Bernard,Daniel Bernard,m,1959,Disraeli,Chaudière-Appalaches,Québec,45.9049116,-71.3596454
24043,Raymond,Bernier,Raymond Bernier,m,1952,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
10185,Roger,Bertrand,Roger Bertrand,m,1947,Donnacona,Capitale-Nationale,Québec,46.676532,-71.73008
97559,Rosaire,Bertrand,Rosaire Bertrand,f,1936,Saint-Fabien-de-Panet,Chaudière-Appalaches,Québec,46.655092,-70.147018
48311,Pascal,Bérubé,Pascal Bérubé,m,1975,Matane,Bas-Saint-Laurent,Québec,48.8468773,-67.5295498
62741,Stéphane,Billette,Stéphane Billette,m,1971,Howick,Montérégie,Québec,45.1849035,-73.8490597
95391,David,Birnbaum,David Birnbaum,m,1956,Montréal,Montréal,Québec,45.5031824,-73.5698065
44089,Martine,Biron,Martine Biron,f,1962,Montréal,Montréal,Québec,45.5031824,-73.5698065
12237,Michel,Bissonnet,Michel Bissonnet,m,1942,Montréal,Montréal,Québec,45.5031824,-73.5698065
14766,Karl,Blackburn,Karl Blackburn,m,1967,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec,48.3370248,-71.12352613559267
64318,François,Blais,François Blais,m,1961,Saint-Patrice-de-Beaurivage,Chaudière-Appalaches,Québec,46.411352,-71.237411
61917,Marguerite,Blais,Marguerite Blais,f,1950,Montréal,Montréal,Québec,45.5031824,-73.5698065
30155,Suzanne,Blais,Suzanne Blais,f,,Taschereau,Abitibi-Témiscamingue,Québec,48.6626064,-78.6830135
51776,Manon,Blanchet,Manon Blanchet,f,1968,Montréal,Montréal,Québec,45.5031824,-73.5698065
62953,Yves-François,Blanchet,Yves-François Blanchet,m,1965,Drummondville,Centre-du-Québec,Québec,45.8864303,-72.5018764
81540,Luc,Blanchette,Luc Blanchette,m,1960,Trois-Rivières,Mauricie,Québec,46.3432325,-72.5428485
35448,Maïté,Blanchette Vézina,Maïté Blanchette Vézina,f,1985,Montmagny,Chaudière-Appalaches,Québec,46.9826328,-70.555916
24982,Catherine,Blouin,Catherine Blouin,f,1986,Saint-Jérôme,Laurentides,Québec,45.775426,-74.013176
23806,Audrey,Bogemans,Audrey Bogemans,f,1989,Saint-Sébastien,Montérégie,Québec,45.1251126,-73.1469091
25450,André,Boisclair,André Boisclair,m,1966,Montréal,Montréal,Québec,45.5031824,-73.5698065
95941,Karine,Boivin Roy,Karine Boivin Roy,f,1971,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec,48.3370248,-71.12352613559267
38100,Ghislain,Bolduc,Ghislain Bolduc,m,1952,Sherbrooke,Estrie,Québec,45.403271,-71.889038
89604,Yves,Bolduc,Yves Bolduc,m,1957,Alma,Saguenay–Lac-Saint-Jean,Québec,48.548887,-71.651459
28553,François,Bonnardel,François Bonnardel,m,1968,Verdun,Montréal,Québec,45.459078,-73.5731774
42548,Yvan,Bordeleau,Yvan Bordeleau,m,1942,La Sarre,Abitibi-Témiscamingue,Québec,48.8000956,-79.2010223
40437,Haroun,Bouazzi,Haroun Bouazzi,m,1979,,,Tunisie,,
74193,Camil,Bouchard,Camil Bouchard,m,1945,La Tuque,Mauricie,Québec,47.441092,-72.78511
40468,Daniel,Bouchard,Daniel Bouchard,m,1968,Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
90308,Lucien,Bouchard,Lucien Bouchard,m,1938,Saint-Coeur-de-Marie,Saguenay–Lac-Saint-Jean,Québec,48.6323011,-71.6963716
80864,Claude,Boucher,Claude Boucher,m,1942,Bromptonville,Estrie,Québec,45.472358,-71.9452752
