id,prénom,nom,nom_complet,genre,année_naissance,municipalité,lieu,code
49195,Alice,Abou-Khalil,Alice Abou-Khalil,,,,,
41792,Simon,Allaire,Simon Allaire,,,,,
98330,Dominique,Anglade,Dominique Anglade,,,,,
87109,Pierre,Arcand,Pierre Arcand,,,,,
61870,Damien,Arsenault,Damien Arsenault,,,,,
94074,Joël,Arseneau,Joël Arseneau,,,,,
58256,Maxime,Arseneau,Maxime Arseneau,,,,,
65295,Mario,Asselin,Mario Asselin,,,,,
99893,Vincent,Auclair,Vincent Auclair,,,,,
53112,Michel,Audet,Michel Audet,,,,,
57606,Pierre-Michel,Auger,Pierre-Michel Auger,,,,,
95581,Jean-Martin,Aussant,Jean-Martin Aussant,,,,,
32441,André,Bachand,André Bachand,,,,,
73573,Claude,Bachand,Claude Bachand,,,,,
51010,Raymond,Bachand,Raymond Bachand,,,,,
16683,Diane,Barbeau,Diane Barbeau,,,,,
51067,Gilles,Baril,Gilles Baril,,,,,
68189,Jacques,Baril,Jacques Baril,,,,,
62545,Gaétan,Barrette,Gaétan Barrette,,,,,
93404,Line,Beauchamp,Line Beauchamp,,,,,
26727,Frédéric,Beauchemin,Frédéric Beauchemin,,,,,
36024,Denise,Beaudoin,Denise Beaudoin,,,,,
66831,Louise,Beaudoin,Louise Beaudoin,,,,,
70812,François,Beaulne,François Beaulne,,,,,
21174,Yves,Beaumier,Yves Beaumier,,,,,
41515,Pascal,Beaupré,Pascal Beaupré,,,,,
90245,Claude,Béchard,Claude Béchard,,,,,
55890,Stéphane,Bédard,Stéphane Bédard,,,,,
30587,Paul,Bégin,Paul Bégin,,,,,
81785,Gilles,Bélanger,Gilles Bélanger,,,,,
59683,Madeleine,Bélanger,Madeleine Bélanger,,,,,
20132,Sonia,Bélanger,Sonia Bélanger,,,,,
60362,Marc,Bellemare,Marc Bellemare,,,,,
27972,François,Benjamin,François Benjamin,,,,,
75135,Frantz,Benjamin,Frantz Benjamin,,,,,
14865,Hubert,Benoit,Hubert Benoit,,,,,
69840,Robert,Benoît,Robert Benoît,,,,,
22281,Jean-Paul,Bergeron,Jean-Paul Bergeron,,,,,
36683,Stéphane,Bergeron,Stéphane Bergeron,,,,,
28983,Lawrence,Bergman,Lawrence Bergman,,,,,
81043,Daniel,Bernard,Daniel Bernard,,,,,
24043,Raymond,Bernier,Raymond Bernier,,,,,
10185,Roger,Bertrand,Roger Bertrand,,,,,
97559,Rosaire,Bertrand,Rosaire Bertrand,,,,,
48311,Pascal,Bérubé,Pascal Bérubé,,,,,
62741,Stéphane,Billette,Stéphane Billette,,,,,
95391,David,Birnbaum,David Birnbaum,,,,,
44089,Martine,Biron,Martine Biron,,,,,
12237,Michel,Bissonnet,Michel Bissonnet,,,,,
14766,Karl,Blackburn,Karl Blackburn,,,,,
64318,François,Blais,François Blais,,,,,
61917,Marguerite,Blais,Marguerite Blais,,,,,
30155,Suzanne,Blais,Suzanne Blais,,,,,
51776,Manon,Blanchet,Manon Blanchet,,,,,
62953,Yves-François,Blanchet,Yves-François Blanchet,,,,,
81540,Luc,Blanchette,Luc Blanchette,,,,,
35448,Maïté,Blanchette Vézina,Maïté Blanchette Vézina,,,,,
24982,Catherine,Blouin,Catherine Blouin,,,,,
23806,Audrey,Bogemans,Audrey Bogemans,,,,,
25450,André,Boisclair,André Boisclair,,,,,
35988,Alex,Boissonneault,Alex Boissonneault,,,,,
95941,Karine,Boivin Roy,Karine Boivin Roy,,,,,
38100,Ghislain,Bolduc,Ghislain Bolduc,,,,,
89604,Yves,Bolduc,Yves Bolduc,,,,,
28553,François,Bonnardel,François Bonnardel,,,,,
42548,Yvan,Bordeleau,Yvan Bordeleau,,,,,
40437,Haroun,Bouazzi,Haroun Bouazzi,,,,,
74193,Camil,Bouchard,Camil Bouchard,,,,,
40468,Daniel,Bouchard,Daniel Bouchard,,,,,
90308,Lucien,Bouchard,Lucien Bouchard,,,,,
80864,Claude,Boucher,Claude Boucher,,,,,
57239,Etienne-Alexis,Boucher,Etienne-Alexis Boucher,,,,,
31054,Jean,Boucher,Jean Boucher,,,,,
48243,Marie,Bouillé,Marie Bouillé,,,,,
63458,André,Boulerice,André Boulerice,,,,,
72524,Jean,Boulet,Jean Boulet,,,,,
27350,Julie,Boulet,Julie Boulet,,,,,
56013,Marc,Boulianne,Marc Boulianne,,,,,
11696,Kariane,Bourassa,Kariane Bourassa,,,,,
72314,André,Bourbeau,André Bourbeau,,,,,
72111,Marc,Bourcier,Marc Bourcier,,,,,
51296,Alexandre,Bourdeau,Alexandre Bourdeau,,,,,
57154,Guy,Bourgeois,Guy Bourgeois,,,,,
75943,Joëlle,Boutin,Joëlle Boutin,,,,,
69194,Jacques,Brassard,Jacques Brassard,,,,,
87985,Daniel,Breton,Daniel Breton,,,,,
41222,Bernard,Brodeur,Bernard Brodeur,,,,,
13132,Raymond,Brouillet,Raymond Brouillet,,,,,
36431,Léo,Bureau-Blouin,Léo Bureau-Blouin,,,,,
53132,Paul,Busque,Paul Busque,,,,,
32051,Robert,Bussière,Robert Bussière,,,,,
20291,Madwa-Nika,Cadet,Madwa-Nika Cadet,,,,,
91294,Éric,Caire,Éric Caire,,,,,
44751,Martin,Camirand,Martin Camirand,,,,,
25322,Richard,Campeau,Richard Campeau,,,,,
18419,Serge,Cardin,Serge Cardin,,,,,
74200,Lionel,Carmant,Lionel Carmant,,,,,
35410,Jocelyne,Caron,Jocelyne Caron,,,,,
30777,Linda,Caron,Linda Caron,,,,,
78850,Vincent,Caron,Vincent Caron,,,,,
51286,Denise,Carrier-Perreault,Denise Carrier-Perreault,,,,,
20664,Marc,Carrière,Marc Carrière,,,,,
63116,Jacques,Chagnon,Jacques Chagnon,,,,,
80733,Noëlla,Champagne,Noëlla Champagne,,,,,
23480,Kateri,Champagne Jourdain,Kateri Champagne Jourdain,,,,,
40219,Gilles,Chapadeau,Gilles Chapadeau,,,,,
69802,Éric,Charbonneau,Éric Charbonneau,,,,,
50550,Francine,Charbonneau,Francine Charbonneau,,,,,
41164,Jean-Pierre,Charbonneau,Jean-Pierre Charbonneau,,,,,
89010,Isabelle,Charest,Isabelle Charest,,,,,
96194,Jean,Charest,Jean Charest,,,,,
92540,Nancy,Charest,Nancy Charest,,,,,
46334,Solange,Charest,Solange Charest,,,,,
51427,Benoit,Charette,Benoit Charette,,,,,
33483,Lucie,Charlebois,Lucie Charlebois,,,,,
13019,MarieChantal,Chassé,MarieChantal Chassé,,,,,
66087,Youri,Chassin,Youri Chassin,,,,,
82504,André,Chenail,André Chenail,,,,,
66281,Germain,Chevarie,Germain Chevarie,,,,,
87797,Guy,Chevrette,Guy Chevrette,,,,,
67265,Roch,Cholette,Roch Cholette,,,,,
17106,Enrico,Ciccone,Enrico Ciccone,,,,,
97606,Jean-Marie,Claveau,Jean-Marie Claveau,,,,,
20472,Maurice,Clermont,Maurice Clermont,,,,,
15038,David,Cliche,David Cliche,,,,,
90958,Guillaume,Cliche-Rivard,Guillaume Cliche-Rivard,,,,,
58291,Alexandre,Cloutier,Alexandre Cloutier,,,,,
14828,Martin,Coiteux,Martin Coiteux,,,,,
94202,Russell,Copeman,Russell Copeman,,,,,
94072,Pierre,Corbeil,Pierre Corbeil,,,,,
32828,François,Corriveau,François Corriveau,,,,,
82050,Jacques,Côté,Jacques Côté,,,,,
89804,Michel,Côté,Michel Côté,,,,,
50748,Philippe,Couillard,Philippe Couillard,,,,,
46224,Michelle,Courchesne,Michelle Courchesne,,,,,
18122,Claude,Cousineau,Claude Cousineau,,,,,
33262,Pierre,Curzi,Pierre Curzi,,,,,
58655,William,Cusano,William Cusano,,,,,
30352,Jean,D'Amour,Jean D'Amour,,,,,
87557,Sylvie,D'Amours,Sylvie D'Amours,,,,,
65786,Jean,Damphousse,Jean Damphousse,,,,,
43890,Hélène,Daneault,Hélène Daneault,,,,,
10865,Suzanne,Dansereau,Suzanne Dansereau,,,,,
19599,Jacques,Daoust,Jacques Daoust,,,,,
72412,Françoise,David,Françoise David,,,,,
82424,Hélène,David,Hélène David,,,,,
24475,Diane,De Courcy,Diane De Courcy,,,,,
58543,Albert,De Martin,Albert De Martin,,,,,
52623,Rita,de Santis,Rita de Santis,,,,,
49263,Margaret,Delisle,Margaret Delisle,,,,,
46758,Gérard,Deltell,Gérard Deltell,,,,,
30163,Monsef,Derraji,Monsef Derraji,,,,,
67823,Pascale,Déry,Pascale Déry,,,,,
64731,Robert,Deschamps,Robert Deschamps,,,,,
73159,Pierre,Descoteaux,Pierre Descoteaux,,,,,
96694,Rémy,Désilets,Rémy Désilets,,,,,
21715,Serge,Deslières,Serge Deslières,,,,,
78196,Michel,Després,Michel Després,,,,,
95250,François,Desrochers,François Desrochers,,,,,
16211,Jean-Paul,Diamond,Jean-Paul Diamond,,,,,
77460,Simon-Pierre,Diamond,Simon-Pierre Diamond,,,,,
37536,Léandre,Dion,Léandre Dion,,,,,
85186,Amélie,Dionne,Amélie Dionne,,,,,
16390,Rita,Dionne-Marsolais,Rita Dionne-Marsolais,,,,,
29260,Jean,Domingue,Jean Domingue,,,,,
20488,Catherine,Dorion,Catherine Dorion,,,,,
33134,Éric,Dorion,Éric Dorion,,,,,
25023,Shirley,Dorismond,Shirley Dorismond,,,,,
59967,Danielle,Doyer,Danielle Doyer,,,,,
80563,Bernard,Drainville,Bernard Drainville,,,,,
63023,André,Drolet,André Drolet,,,,,
41440,Christian,Dubé,Christian Dubé,,,,,
68497,Emmanuel,Dubourg,Emmanuel Dubourg,,,,,
73304,Jean,Dubuc,Jean Dubuc,,,,,
49178,Pierre,Duchesne,Pierre Duchesne,,,,,
52075,Jacques,Duchesneau,Jacques Duchesneau,,,,,
50091,Marjolain,Dufour,Marjolain Dufour,,,,,
81179,Pierre,Dufour,Pierre Dufour,,,,,
27263,Virginie,Dufour,Virginie Dufour,,,,,
92538,Normand,Duguay,Normand Duguay,,,,,
42308,Mario,Dumont,Mario Dumont,,,,,
93528,Jacques,Dupuis,Jacques Dupuis,,,,,
45127,France-Élaine,Duranceau,France-Élaine Duranceau,,,,,
15476,Robert,Dutil,Robert Dutil,,,,,
13472,Jean-Bernard,Émond,Jean-Bernard Émond,,,,,
93129,Joseph,Facal,Joseph Facal,,,,,
11288,Luc,Ferland,Luc Ferland,,,,,
25505,Pierre,Fitzgibbon,Pierre Fitzgibbon,,,,,
84842,Andrés,Fontecilla,Andrés Fontecilla,,,,,
78385,André,Fortin,André Fortin,,,,,
69569,Luc,Fortin,Luc Fortin,,,,,
20189,Émilie,Foster,Émilie Foster,,,,,
92098,Catherine,Fournier,Catherine Fournier,,,,,
68585,Jean-Marc,Fournier,Jean-Marc Fournier,,,,,
29390,Raymond,Francoeur,Raymond Francoeur,,,,,
10622,Christine,Fréchette,Christine Fréchette,,,,,
47058,André,Gabias,André Gabias,,,,,
60852,Diane,Gadoury-Hamelin,Diane Gadoury-Hamelin,,,,,
64639,Gabriel-Yvan,Gagnon,Gabriel-Yvan Gagnon,,,,,
28915,Yannick,Gagnon,Yannick Gagnon,,,,,
59836,Monique,Gagnon-Tremblay,Monique Gagnon-Tremblay,,,,,
37282,Brigitte,Garceau,Brigitte Garceau,,,,,
88758,Francine,Gaudet,Francine Gaudet,,,,,
48931,François,Gaudreau,François Gaudreau,,,,,
73567,Maryse,Gaudreault,Maryse Gaudreault,,,,,
20409,Sylvain,Gaudreault,Sylvain Gaudreault,,,,,
80137,Françoise,Gauthier,Françoise Gauthier,,,,,
36417,Henri-François,Gautrin,Henri-François Gautrin,,,,,
16874,Réal,Gauvin,Réal Gauvin,,,,,
64711,René,Gauvreau,René Gauvreau,,,,,
18317,François,Gendron,François Gendron,,,,,
23744,Marie-Belle,Gendron,Marie-Belle Gendron,,,,,
80188,Catherine,Gentilcore,Catherine Gentilcore,,,,,
29578,Serge,Geoffrion,Serge Geoffrion,,,,,
66329,Ruba,Ghazal,Ruba Ghazal,,,,,
99765,Clément,Gignac,Clément Gignac,,,,,
31371,Pierre,Giguère,Pierre Giguère,,,,,
68250,Pierre,Gingras,Pierre Gingras,,,,,
42018,Eric,Girard,Eric Girard,,,,,
57055,Éric,Girard,Éric Girard,,,,,
44878,Jean-Denis,Girard,Jean-Denis Girard,,,,,
51369,Nicolas,Girard,Nicolas Girard,,,,,
29921,Nadine,Girault,Nadine Girault,,,,,
99702,Jean-Claude,Gobé,Jean-Claude Gobé,,,,,
44661,Johanne,Gonthier,Johanne Gonthier,,,,,
75892,Jean-François,Gosselin,Jean-François Gosselin,,,,,
28628,Linda,Goupil,Linda Goupil,,,,,
47882,Daniel,Goyer,Daniel Goyer,,,,,
51254,Etienne,Grandmont,Etienne Grandmont,,,,,
99506,Ginette,Grandmont,Ginette Grandmont,,,,,
88176,Marie,Grégoire,Marie Grégoire,,,,,
62224,Agnès,Grondin,Agnès Grondin,,,,,
52460,Janvier,Grondin,Janvier Grondin,,,,,
38811,Geneviève,Guilbault,Geneviève Guilbault,,,,,
58039,Nancy,Guillemette,Nancy Guillemette,,,,,
28838,Jean,Habel,Jean Habel,,,,,
19463,Sam,Hamad,Sam Hamad,,,,,
73700,France,Hamel,France Hamel,,,,,
57003,Guy,Hardy,Guy Hardy,,,,,
76718,Louise,Harel,Louise Harel,,,,,
14953,Céline,Haytayan,Céline Haytayan,,,,,
68749,Geneviève,Hébert,Geneviève Hébert,,,,,
70954,Réjean,Hébert,Réjean Hébert,,,,,
59202,David,Heurtel,David Heurtel,,,,,
63101,Véronique,Hivon,Véronique Hivon,,,,,
70450,Fatima,Houda-Pepin,Fatima Houda-Pepin,,,,,
95698,Patrick,Huot,Patrick Huot,,,,,
89595,Alexandre,Iracà,Alexandre Iracà,,,,,
48416,Claire,IsaBelle,Claire IsaBelle,,,,,
42171,François,Jacques,François Jacques,,,,,
66936,Yolande,James,Yolande James,,,,,
90953,Mireille,Jean,Mireille Jean,,,,,
47863,Chantale,Jeannotte,Chantale Jeannotte,,,,,
98543,Monique,Jérôme-Forget,Monique Jérôme-Forget,,,,,
67810,Simon,Jolin-Barrette,Simon Jolin-Barrette,,,,,
24245,Jean-Pierre,Jolivet,Jean-Pierre Jolivet,,,,,
42203,Guy,Julien,Guy Julien,,,,,
85989,Jonatan,Julien,Jonatan Julien,,,,,
17689,Normand,Jutras,Normand Jutras,,,,,
18709,Pierre,Karl Péladeau,Pierre Karl Péladeau,,,,,
