législature,prénom,nom,nom_complet,du,au,parti,circonscription
36,André,Pelletier,André Pelletier,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Abitibi-Est
36,François,Gendron,François Gendron,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Abitibi-Ouest
36,Yvan,Bordeleau,Yvan Bordeleau,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Acadie
36,Jean-Sébastien,Lamoureux,Jean-Sébastien Lamoureux,1998-11-30T00:00:00Z,2001-09-24T00:00:00Z,PLQ,Anjou
36,Lise,Thériault,Lise Thériault,2002-04-15T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Anjou
36,David,Whissell,David Whissell,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Argenteuil
36,Jacques,Baril,Jacques Baril,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Arthabaska
36,Normand,Poulin,Normand Poulin,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Beauce-Nord
36,Diane,Leblanc,Diane Leblanc,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Beauce-Sud
36,André,Chenail,André Chenail,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Beauharnois-Huntingdon
36,Claude,Lachance,Claude Lachance,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Bellechasse
36,Gilles,Baril,Gilles Baril,1998-11-30T00:00:00Z,2002-05-14T00:00:00Z,PQ,Berthier
36,Marie,Grégoire,Marie Grégoire,2002-06-17T00:00:00Z,2003-04-13T00:00:00Z,ADQ,Berthier
36,Claude,Cousineau,Claude Cousineau,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Bertrand
36,Céline,Signori,Céline Signori,1998-11-30T00:00:00Z,2001-06-26T00:00:00Z,PQ,Blainville
36,Richard,Legendre,Richard Legendre,2001-10-01T00:00:00Z,2003-04-13T00:00:00Z,PQ,Blainville
36,Nathalie,Normandeau,Nathalie Normandeau,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Bonaventure
36,Michèle,Lamquin-Éthier,Michèle Lamquin-Éthier,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Bourassa
36,Diane,Lemieux,Diane Lemieux,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Bourget
36,Jean-Pierre,Charbonneau,Jean-Pierre Charbonneau,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Borduas
36,Pierre,Paradis,Pierre Paradis,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Brome-Missisquoi
36,Louise,Beaudoin,Louise Beaudoin,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Chambly
36,Yves,Beaumier,Yves Beaumier,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Champlain
36,Benoît,Pelletier,Benoît Pelletier,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Chapleau
36,Jean,Rochon,Jean Rochon,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Charlesbourg
36,Rosaire,Bertrand,Rosaire Bertrand,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Charlevoix
36,Jean-Marc,Fournier,Jean-Marc Fournier,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PLQ,Châteauguay
36,Raymond,Brouillet,Raymond Brouillet,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Chauveau
36,Stéphane,Bédard,Stéphane Bédard,1998-11-30T00:00:00Z,2003-04-13T00:00:00Z,PQ,Chicoutimi
