municipalité,région,lieu,lat,long
Amos,Abitibi-Témiscamingue,Québec,48.5718519,-78.1160856
Duhamel-Ouest,Abitibi-Témiscamingue,Québec,47.3132002,-79.4347244
Duparquet,Abitibi-Témiscamingue,Québec,48.5026134,-79.2224096
Évain,Abitibi-Témiscamingue,Québec,48.2406459,-79.1302938
La Sarre,Abitibi-Témiscamingue,Québec,48.8000956,-79.2010223
Malartic,Abitibi-Témiscamingue,Québec,48.137225,-78.125153
Saint-Eugène-de-Guigues,Abitibi-Témiscamingue,Québec,47.512563,-79.352875
Taschereau,Abitibi-Témiscamingue,Québec,48.6626064,-78.6830135
Val-d'Or,Abitibi-Témiscamingue,Québec,48.1023356,-77.7875715
Amqui,Bas-Saint-Laurent,Québec,48.4656706,-67.4315171
Cacouna,Bas-Saint-Laurent,Québec,47.9171789,-69.5016092
Matane,Bas-Saint-Laurent,Québec,48.8468773,-67.5295498
Mont-Joli,Bas-Saint-Laurent,Québec,48.583875,-68.183899
Rimouski,Bas-Saint-Laurent,Québec,48.450155,-68.529968
Rivière-Bleue,Bas-Saint-Laurent,Québec,47.434126,-69.044952
Rivière-du-Loup,Bas-Saint-Laurent,Québec,47.8541229,-69.5333016
Sayabec,Bas-Saint-Laurent,Québec,48.566157,-67.688141
Squatec,Bas-Saint-Laurent,Québec,47.8818324,-68.7257544
Saint-Philippe-de-Néri,Bas-Saint-Laurent,Québec,47.468486,-69.88472
Sainte-Anne-de-la-Pocatière,Bas-Saint-Laurent,Québec,47.3479908,-70.0038712
Baie-Saint-Paul,Capitale-Nationale,Québec,47.444343,-70.505447
Beauport,Capitale-Nationale,Québec,46.8983492,-71.2062892
Donnacona,Capitale-Nationale,Québec,46.676532,-71.73008
Neufchâtel,Capitale-Nationale,Québec,46.8442302,-71.3441924
Québec,Capitale-Nationale,Québec,46.8137431,-71.2084061
Saint-Alban,Capitale-Nationale,Québec,46.71821,-72.078896
Saint-Gilbert,Capitale-Nationale,Québec,46.715621,-71.995125
Sainte-Catherine-de-la-Jacques-Cartier,Capitale-Nationale,Québec,46.8443807,-71.615023
Bécancour,Centre-du-Québec,Québec,46.3415746,-72.4335088
Drummondville,Centre-du-Québec,Québec,45.8864303,-72.5018764
