Pierre,Arcand,1
Vincent,Auclair,2
Jean-Martin,Aussant,3
Raymond,Bachand,4
Line,Beauchamp,5
Denise,Beaudoin,6
Louise,Beaudoin,7
Stéphane,Bédard,8
Stéphane,Bergeron,9
Lawrence,Bergman,10
Daniel,Bernard,11
Pascal,Bérubé,12
Stéphane,Billette,13
Marguerite,Blais,14
Yves-François,Blanchet,15
Yves,Bolduc,16
François,Bonnardel,17
Etienne-Alexis,Boucher,18
Marie,Bouillé,19
Julie,Boulet,20
Éric,Caire,21
Marc,Carrière,22
Jacques,Chagnon,23
Noëlla,Champagne,24
Francine,Charbonneau,25
Jean,Charest,26
Lucie,Charlebois,27
Germain,Chevarie,28
Alexandre,Cloutier,29
Pierre,Corbeil,30
Michelle,Courchesne,31
Pierre,Curzi,32
Jean,D'Amour,33
Gérard,Deltell,34
Danielle,Doyer,35
Bernard,Drainville,36
André,Drolet,37
Emmanuel,Dubourg,38
Marjolain,Dufour,39
Robert,Dutil,40
Luc,Ferland,41
Jean-Marc,Fournier,42
Monique,Gagnon-Tremblay,43
Maryse,Gaudreault,44
Sylvain,Gaudreault,45
Henri-François,Gautrin,46
François,Gendron,47
Clément,Gignac,48
Nicolas,Girard,49
Johanne,Gonthier,50
Janvier,Grondin,51
Sam,Hamad,52
Véronique,Hivon,53
Fatima,Houda-Pepin,54
Patrick,Huot,55
Yolande,James,56
Geoffrey,Kelley,57
Amir,Khadir,58
Maka,Kotto,59
Lisette,Lapointe,60
Guy,Leclair,61
Nicole,Léger,62
Gilles,Lehouillier,63
Laurent,Lessard,64
Norman,MacMillan,65
Marie,Malavoy,66
Agnès,Maltais,67
Nicolas,Marceau,68
Pauline,Marois,69
Scott,McKay,70
Nicole,Ménard,71
Pierre,Moreau,72
Norbert,Morin,73
Nathalie,Normandeau,74
Martine,Ouellet,75
Guy,Ouellette,76
François,Ouimet,77
Alain,Paquet,78
Émilien,Pelletier,79
Irvin,Pelletier,80
Marc,Picard,81
Michel,Pigeon,82
Carole,Poirier,83
Daniel,Ratthé,84
François,Rebello,85
Lorraine,Richard,86
Gilles,Robert,87
Filomena,Rotiroti,88
Sylvie,Roy,89
André,Simard,90
Serge,Simard,91
Sylvain,Simard,92
Gerry,Sklavounos,93
Danielle,St-Amand,94
Bertrand,St-Arnaud,95
Christine,St-Pierre,96
Lise,Thériault,97
Mathieu,Traversy,98
Guillaume,Tremblay,99
Denis,Trottier,100
Dave,Turcotte,101
Dominique,Vien,102
André,Villeneuve,103
Jacques,Chagnon,104
Pierre,Reid,105
